Academic Year,LEA Number,LEA Name,School Number,School Name,Test Type Title,Grade Title,Subject Title,Advanced Count,Advanced Percent,Proficient Count,Proficient Percent,Basic Count,Basic Percent,Test Member Count,Create Date
2011,01,Allegany,0301,Flintstone Elementary,All,Grade 5,Science,6,16.7,25,69.4,5,13.9,36,20111118
2011,01,Allegany,0301,Flintstone Elementary,All,Grade 3,Reading,11,29.7,24,64.9,2,5.4,37,20111118
2011,01,Allegany,0301,Flintstone Elementary,All,Grade 4,Reading,9,23.1,25,64.1,5,12.8,39,20111118
2011,01,Allegany,0301,Flintstone Elementary,All,Grade 5,Reading,23,63.9,12,33.3,*,<= 5.0,36,20111118
2011,01,Allegany,0301,Flintstone Elementary,All,Grade 3,Math,17,45.9,16,43.2,4,10.8,37,20111118
2011,01,Allegany,0301,Flintstone Elementary,All,Grade 4,Math,17,43.6,22,56.4,*,<= 5.0,39,20111118
2011,01,Allegany,0301,Flintstone Elementary,All,Grade 5,Math,6,16.7,25,69.4,5,13.9,36,20111118
2011,01,Allegany,0301,Flintstone Elementary,Modified,Grade 4,Reading,*,*,*,*,*,*,*,20111118
2011,01,Allegany,0301,Flintstone Elementary,Modified,Grade 4,Math,*,*,*,*,*,*,*,20111118
2011,01,Allegany,0401,South Penn Elementary,All,Grade 5,Science,5,6.6,45,59.2,26,34.2,76,20111118
2011,01,Allegany,0401,South Penn Elementary,All,Grade 3,Reading,8,9.6,60,72.3,15,18.1,83,20111118
2011,01,Allegany,0401,South Penn Elementary,All,Grade 4,Reading,12,16.9,45,63.4,14,19.7,71,20111118
2011,01,Allegany,0401,South Penn Elementary,All,Grade 5,Reading,28,35.9,41,52.6,9,11.5,78,20111118
2011,01,Allegany,0401,South Penn Elementary,All,Grade 3,Math,19,22.9,52,62.7,12,14.5,83,20111118
2011,01,Allegany,0401,South Penn Elementary,All,Grade 4,Math,34,47.9,31,43.7,6,8.5,71,20111118
2011,01,Allegany,0401,South Penn Elementary,All,Grade 5,Math,10,13.0,52,67.5,15,19.5,77,20111118
2011,01,Allegany,0401,South Penn Elementary,Modified,Grade 3,Reading,*,*,*,*,*,*,*,20111118
2011,01,Allegany,0401,South Penn Elementary,Modified,Grade 4,Reading,*,*,*,*,*,*,*,20111118
2011,01,Allegany,0401,South Penn Elementary,Modified,Grade 5,Reading,*,*,*,*,*,*,*,20111118
2011,01,Allegany,0401,South Penn Elementary,Modified,Grade 4,Math,*,*,*,*,*,*,*,20111118
2011,01,Allegany,0401,South Penn Elementary,Modified,Grade 5,Math,*,*,*,*,*,*,*,20111118
2011,01,Allegany,0402,John Humbird Elementary,All,Grade 5,Science,*,<= 5.0,30,71.4,10,23.8,42,20111118
2011,01,Allegany,0402,John Humbird Elementary,All,Grade 3,Reading,*,<= 5.0,34,75.6,10,22.2,45,20111118
2011,01,Allegany,0402,John Humbird Elementary,All,Grade 4,Reading,9,17.6,32,62.7,10,19.6,51,20111118
2011,01,Allegany,0402,John Humbird Elementary,All,Grade 5,Reading,18,42.9,18,42.9,6,14.3,42,20111118
2011,01,Allegany,0402,John Humbird Elementary,All,Grade 3,Math,13,28.9,21,46.7,11,24.4,45,20111118
2011,01,Allegany,0402,John Humbird Elementary,All,Grade 4,Math,28,56.0,17,34.0,5,10.0,50,20111118
2011,01,Allegany,0402,John Humbird Elementary,All,Grade 5,Math,6,14.3,27,64.3,9,21.4,42,20111118
2011,01,Allegany,0402,John Humbird Elementary,Modified,Grade 4,Reading,*,*,*,*,*,*,*,20111118
2011,01,Allegany,0402,John Humbird Elementary,Modified,Grade 5,Reading,*,*,*,*,*,*,*,20111118
2011,01,Allegany,0402,John Humbird Elementary,Modified,Grade 4,Math,*,*,*,*,*,*,*,20111118
2011,01,Allegany,0402,John Humbird Elementary,Modified,Grade 5,Math,*,*,*,*,*,*,*,20111118
2011,01,Allegany,0406,Washington Middle,All,Grade 8,Science,*,<= 5.0,142,65.1,71,32.6,218,20111118
2011,01,Allegany,0406,Washington Middle,All,Grade 6,Reading,57,27.0,95,45.0,59,28.0,211,20111118
2011,01,Allegany,0406,Washington Middle,All,Grade 7,Reading,56,29.8,79,42.0,53,28.2,188,20111118
2011,01,Allegany,0406,Washington Middle,All,Grade 8,Reading,81,36.8,91,41.4,48,21.8,220,20111118
2011,01,Allegany,0406,Washington Middle,All,Grade 6,Math,63,29.9,109,51.7,39,18.5,211,20111118
2011,01,Allegany,0406,Washington Middle,All,Grade 7,Math,32,17.1,94,50.3,61,32.6,187,20111118
2011,01,Allegany,0406,Washington Middle,All,Grade 8,Math,54,24.4,86,38.9,81,36.7,221,20111118
2011,01,Allegany,0406,Washington Middle,Modified,Grade 6,Reading,*,*,*,*,*,*,*,20111118
2011,01,Allegany,0406,Washington Middle,Modified,Grade 8,Reading,*,*,*,*,*,*,*,20111118
2011,01,Allegany,0406,Washington Middle,Modified,Grade 6,Math,*,*,*,*,*,*,*,20111118
2011,01,Allegany,0406,Washington Middle,Modified,Grade 7,Math,*,*,*,*,*,*,*,20111118
2011,01,Allegany,0406,Washington Middle,Modified,Grade 8,Math,*,*,*,*,*,*,*,20111118
2011,01,Allegany,0502,Northeast Elementary,All,Grade 5,Science,7,12.5,42,75.0,7,12.5,56,20111118
2011,01,Allegany,0502,Northeast Elementary,All,Grade 3,Reading,10,19.6,36,70.6,5,9.8,51,20111118
2011,01,Allegany,0502,Northeast Elementary,All,Grade 4,Reading,15,30.6,29,59.2,5,10.2,49,20111118
2011,01,Allegany,0502,Northeast Elementary,All,Grade 5,Reading,31,55.4,21,37.5,4,7.1,56,20111118
2011,01,Allegany,0502,Northeast Elementary,All,Grade 3,Math,19,37.3,29,56.9,3,5.9,51,20111118
2011,01,Allegany,0502,Northeast Elementary,All,Grade 4,Math,29,59.2,20,40.8,*,<= 5.0,49,20111118
2011,01,Allegany,0502,Northeast Elementary,All,Grade 5,Math,14,25.0,35,62.5,7,12.5,56,20111118
2011,01,Allegany,0504,Braddock Middle,All,Grade 8,Science,*,<= 5.0,110,62.1,60,33.9,177,20111118
2011,01,Allegany,0504,Braddock Middle,All,Grade 6,Reading,79,43.9,68,37.8,33,18.3,180,20111118
2011,01,Allegany,0504,Braddock Middle,All,Grade 7,Reading,76,39.6,99,51.6,17,8.9,192,20111118
2011,01,Allegany,0504,Braddock Middle,All,Grade 8,Reading,69,38.8,78,43.8,31,17.4,178,20111118
2011,01,Allegany,0504,Braddock Middle,All,Grade 6,Math,71,39.2,92,50.8,18,9.9,181,20111118
2011,01,Allegany,0504,Braddock Middle,All,Grade 7,Math,57,29.5,104,53.9,32,16.6,193,20111118
2011,01,Allegany,0504,Braddock Middle,All,Grade 8,Math,55,30.7,67,37.4,57,31.8,179,20111118
2011,01,Allegany,0504,Braddock Middle,Modified,Grade 6,Reading,*,*,*,*,*,*,*,20111118
2011,01,Allegany,0504,Braddock Middle,Modified,Grade 7,Reading,*,*,*,*,*,*,*,20111118
2011,01,Allegany,0504,Braddock Middle,Modified,Grade 8,Reading,*,*,*,*,*,*,*,20111118
2011,01,Allegany,0504,Braddock Middle,Modified,Grade 6,Math,*,*,*,*,*,*,*,20111118
2011,01,Allegany,0504,Braddock Middle,Modified,Grade 7,Math,*,*,*,*,*,*,*,20111118
2011,01,Allegany,0504,Braddock Middle,Modified,Grade 8,Math,*,*,*,*,*,*,*,20111118
2011,01,Allegany,0603,West Side Elementary,All,Grade 5,Science,3,5.1,32,54.2,24,40.7,59,20111118
2011,01,Allegany,0603,West Side Elementary,All,Grade 3,Reading,8,15.1,33,62.3,12,22.6,53,20111118
2011,01,Allegany,0603,West Side Elementary,All,Grade 4,Reading,8,22.2,23,63.9,5,13.9,36,20111118
2011,01,Allegany,0603,West Side Elementary,All,Grade 5,Reading,28,46.7,22,36.7,10,16.7,60,20111118
2011,01,Allegany,0603,West Side Elementary,All,Grade 3,Math,16,29.6,26,48.1,12,22.2,54,20111118
2011,01,Allegany,0603,West Side Elementary,All,Grade 4,Math,20,55.6,13,36.1,3,8.3,36,20111118
2011,01,Allegany,0603,West Side Elementary,All,Grade 5,Math,8,13.3,37,61.7,15,25.0,60,20111118
2011,01,Allegany,0603,West Side Elementary,Modified,Grade 3,Reading,*,*,*,*,*,*,*,20111118
2011,01,Allegany,0603,West Side Elementary,Modified,Grade 5,Reading,*,*,*,*,*,*,*,20111118
2011,01,Allegany,0603,West Side Elementary,Modified,Grade 3,Math,*,*,*,*,*,*,*,20111118
2011,01,Allegany,0603,West Side Elementary,Modified,Grade 5,Math,*,*,*,*,*,*,*,20111118
