Academic Year,LEA Number,LEA Name,School Number,School Name,Test Type,Grade,Subject,Advanced Count,Advanced Percent,Proficient Count,Proficient Percent,Basic Count,Basic Percent,Tested Count,Create Date
2012,01,Allegany,0301,Flintstone Elementary,All,Grade 3,Math,15,50.0,14,46.7,*,<= 5.0,30,20130124
2012,01,Allegany,0301,Flintstone Elementary,All,Grade 4,Math,22,61.1,11,30.6,3,8.3,36,20130124
2012,01,Allegany,0301,Flintstone Elementary,All,Grade 5,Math,12,32.4,22,59.5,3,8.1,37,20130124
2012,01,Allegany,0301,Flintstone Elementary,All,Grade 3,Reading,10,33.3,19,63.3,*,<= 5.0,30,20130124
2012,01,Allegany,0301,Flintstone Elementary,All,Grade 4,Reading,19,52.8,16,44.4,*,<= 5.0,36,20130124
2012,01,Allegany,0301,Flintstone Elementary,All,Grade 5,Reading,22,59.5,11,29.7,4,10.8,37,20130124
2012,01,Allegany,0301,Flintstone Elementary,All,Grade 5,Science,8,21.6,26,70.3,3,8.1,37,20130124
2012,01,Allegany,0301,Flintstone Elementary,Modified,Grade 5,Math,*,*,*,*,*,*,*,20130124
2012,01,Allegany,0301,Flintstone Elementary,Modified,Grade 5,Reading,*,*,*,*,*,*,*,20130124
2012,01,Allegany,0401,South Penn Elementary,All,Grade 3,Math,20,35.1,30,52.6,7,12.3,57,20130124
2012,01,Allegany,0401,South Penn Elementary,All,Grade 4,Math,30,35.3,47,55.3,8,9.4,85,20130124
2012,01,Allegany,0401,South Penn Elementary,All,Grade 5,Math,7,10.3,44,64.7,17,25.0,68,20130124
2012,01,Allegany,0401,South Penn Elementary,All,Grade 3,Reading,9,15.8,37,64.9,11,19.3,57,20130124
2012,01,Allegany,0401,South Penn Elementary,All,Grade 4,Reading,12,14.1,63,74.1,10,11.8,85,20130124
2012,01,Allegany,0401,South Penn Elementary,All,Grade 5,Reading,29,42.6,29,42.6,10,14.7,68,20130124
2012,01,Allegany,0401,South Penn Elementary,All,Grade 5,Science,4,6.0,39,58.2,24,35.8,67,20130124
2012,01,Allegany,0401,South Penn Elementary,Modified,Grade 3,Math,*,*,*,*,*,*,*,20130124
2012,01,Allegany,0401,South Penn Elementary,Modified,Grade 5,Math,*,*,*,*,*,*,*,20130124
2012,01,Allegany,0401,South Penn Elementary,Modified,Grade 3,Reading,*,*,*,*,*,*,*,20130124
2012,01,Allegany,0401,South Penn Elementary,Modified,Grade 4,Reading,*,*,*,*,*,*,*,20130124
2012,01,Allegany,0401,South Penn Elementary,Modified,Grade 5,Reading,*,*,*,*,*,*,*,20130124
2012,01,Allegany,0402,John Humbird Elementary,All,Grade 3,Math,14,36.8,20,52.6,4,10.5,38,20130124
2012,01,Allegany,0402,John Humbird Elementary,All,Grade 4,Math,20,50.0,14,35.0,6,15.0,40,20130124
2012,01,Allegany,0402,John Humbird Elementary,All,Grade 5,Math,17,36.2,26,55.3,4,8.5,47,20130124
2012,01,Allegany,0402,John Humbird Elementary,All,Grade 3,Reading,6,15.8,26,68.4,6,15.8,38,20130124
2012,01,Allegany,0402,John Humbird Elementary,All,Grade 4,Reading,5,12.5,29,72.5,6,15.0,40,20130124
2012,01,Allegany,0402,John Humbird Elementary,All,Grade 5,Reading,15,31.9,22,46.8,10,21.3,47,20130124
2012,01,Allegany,0402,John Humbird Elementary,All,Grade 5,Science,6,12.8,30,63.8,11,23.4,47,20130124
2012,01,Allegany,0402,John Humbird Elementary,Modified,Grade 4,Math,*,*,*,*,*,*,*,20130124
2012,01,Allegany,0402,John Humbird Elementary,Modified,Grade 5,Math,*,*,*,*,*,*,*,20130124
2012,01,Allegany,0402,John Humbird Elementary,Modified,Grade 4,Reading,*,*,*,*,*,*,*,20130124
2012,01,Allegany,0402,John Humbird Elementary,Modified,Grade 5,Reading,*,*,*,*,*,*,*,20130124
2012,01,Allegany,0406,Washington Middle,All,Grade 6,Math,87,42.6,99,48.5,18,8.8,204,20130124
2012,01,Allegany,0406,Washington Middle,All,Grade 7,Math,50,24.4,117,57.1,38,18.5,205,20130124
