Academic Year,LEA Number,LEA Name,School Number,School Name,Assessment,Tested Count,Level 1: Did not yet meet expectations - Count,Level 1: Did not yet meet expectations - Percent,Level 2: Partially met expectations - Count,Level 2: Partially met expectations - Percent,Level 3: Approached expectations - Count,Level 3: Approached expectations - Percent,Level 4: Met expectations - Count,Level 4: Met expectations - Percent,Level 5: Exceeded expectations - Count,Level 5: Exceeded expectations - Percent,Create Date
2015,01,Allegany,0301,Flintstone Elementary,English/Language Arts Grade 3,32,6,18.8,6,18.8,10,31.3,8,25,2,6.3,20160108
2015,01,Allegany,0301,Flintstone Elementary,English/Language Arts Grade 4,33,*,<= 5.0,4,12.1,11,33.3,14,42.4,3,9.1,20160108
2015,01,Allegany,0301,Flintstone Elementary,English/Language Arts Grade 5,33,6,18.2,6,18.2,11,33.3,10,30.3,*,<= 5.0,20160108
2015,01,Allegany,0301,Flintstone Elementary,Mathematics Grade 3,32,2,6.3,11,34.4,10,31.3,7,21.9,2,6.3,20160108
2015,01,Allegany,0301,Flintstone Elementary,Mathematics Grade 4,33,*,<= 5.0,7,21.2,11,33.3,14,42.4,*,<= 5.0,20160108
2015,01,Allegany,0301,Flintstone Elementary,Mathematics Grade 5,33,6,18.2,11,33.3,13,39.4,2,6.1,*,<= 5.0,20160108
2015,01,Allegany,0401,South Penn Elementary,English/Language Arts Grade 3,75,21,28,28,37.3,17,22.7,8,10.7,*,<= 5.0,20160108
2015,01,Allegany,0401,South Penn Elementary,English/Language Arts Grade 4,59,9,15.3,15,25.4,24,40.7,11,18.6,*,<= 5.0,20160108
2015,01,Allegany,0401,South Penn Elementary,English/Language Arts Grade 5,77,10,13,27,35.1,27,35.1,12,15.6,*,<= 5.0,20160108
2015,01,Allegany,0401,South Penn Elementary,Mathematics Grade 3,73,17,23.3,15,20.5,24,32.9,17,23.3,*,<= 5.0,20160108
2015,01,Allegany,0401,South Penn Elementary,Mathematics Grade 4,59,8,13.6,15,25.4,22,37.3,13,22,*,<= 5.0,20160108
2015,01,Allegany,0401,South Penn Elementary,Mathematics Grade 5,76,13,17.1,27,35.5,26,34.2,10,13.2,*,<= 5.0,20160108
2015,01,Allegany,0402,John Humbird Elementary,English/Language Arts Grade 3,49,19,38.8,14,28.6,6,12.2,10,20.4,*,<= 5.0,20160108
2015,01,Allegany,0402,John Humbird Elementary,English/Language Arts Grade 4,42,8,19,17,40.5,11,26.2,5,11.9,*,<= 5.0,20160108
2015,01,Allegany,0402,John Humbird Elementary,English/Language Arts Grade 5,43,6,14,9,20.9,21,48.8,6,14,*,<= 5.0,20160108
2015,01,Allegany,0402,John Humbird Elementary,Mathematics Grade 3,49,11,22.4,15,30.6,15,30.6,7,14.3,*,<= 5.0,20160108
2015,01,Allegany,0402,John Humbird Elementary,Mathematics Grade 4,42,10,23.8,15,35.7,13,31,4,9.5,*,<= 5.0,20160108
2015,01,Allegany,0402,John Humbird Elementary,Mathematics Grade 5,42,6,14.3,8,19,13,31,14,33.3,*,<= 5.0,20160108
2015,01,Allegany,0405,Fort Hill High,Algebra 1,136,32,23.5,66,48.5,36,26.5,*,<= 5.0,*,<= 5.0,20160108
2015,01,Allegany,0405,Fort Hill High,Algebra 2,101,33,32.7,38,37.6,27,26.7,*,<= 5.0,*,<= 5.0,20160108
2015,01,Allegany,0405,Fort Hill High,English/Language Arts Grade 10,197,101,51.3,34,17.3,38,19.3,24,12.2,*,<= 5.0,20160108
2015,01,Allegany,0406,Washington Middle,Algebra 1,58,*,<= 5.0,*,<= 5.0,7,12.1,45,77.6,5,8.6,20160108
2015,01,Allegany,0406,Washington Middle,English/Language Arts Grade 6,202,31,15.3,61,30.2,64,31.7,46,22.8,*,<= 5.0,20160108
2015,01,Allegany,0406,Washington Middle,English/Language Arts Grade 7,207,36,17.4,43,20.8,67,32.4,54,26.1,*,<= 5.0,20160108
2015,01,Allegany,0406,Washington Middle,English/Language Arts Grade 8,227,34,15,55,24.2,64,28.2,68,30,*,<= 5.0,20160108
2015,01,Allegany,0406,Washington Middle,Mathematics Grade 6,202,28,13.9,53,26.2,50,24.8,67,33.2,*,<= 5.0,20160108
2015,01,Allegany,0406,Washington Middle,Mathematics Grade 7,206,27,13.1,79,38.3,71,34.5,28,13.6,*,<= 5.0,20160108
2015,01,Allegany,0406,Washington Middle,Mathematics Grade 8,169,28,16.6,38,22.5,51,30.2,52,30.8,*,<= 5.0,20160108
2015,01,Allegany,0502,Northeast Elementary,English/Language Arts Grade 3,49,9,18.4,9,18.4,16,32.7,13,26.5,*,<= 5.0,20160108
2015,01,Allegany,0502,Northeast Elementary,English/Language Arts Grade 4,48,9,18.8,5,10.4,17,35.4,16,33.3,*,<= 5.0,20160108
2015,01,Allegany,0502,Northeast Elementary,English/Language Arts Grade 5,43,*,<= 5.0,12,27.9,16,37.2,13,30.2,*,<= 5.0,20160108
2015,01,Allegany,0502,Northeast Elementary,Mathematics Grade 3,49,6,12.2,10,20.4,12,24.5,17,34.7,4,8.2,20160108
2015,01,Allegany,0502,Northeast Elementary,Mathematics Grade 4,48,5,10.4,11,22.9,12,25,19,39.6,*,<= 5.0,20160108
2015,01,Allegany,0502,Northeast Elementary,Mathematics Grade 5,43,*,<= 5.0,11,25.6,16,37.2,12,27.9,*,<= 5.0,20160108
2015,01,Allegany,0504,Braddock Middle,Algebra 1,88,*,<= 5.0,11,12.5,27,30.7,44,50,5,5.7,20160108
2015,01,Allegany,0504,Braddock Middle,English/Language Arts Grade 6,187,35,18.7,36,19.3,57,30.5,58,31,*,<= 5.0,20160108
